Program,Code,Course Name,Credits,Prerequisites,Level
"biomedical, computer",ARAB 101,Arabic Language 1,3,nan,3
computer,ARAB 201,Arabic Language 2,3,ARAB-101,5
"electronics, power",ARAB-101,Arabic Language 1,3,nan,4
"biomedical, electronics, power",ARAB-201,Arabic Language 2,3,ARAB-101,5
biomedical,BIO 110,English Language 2,3,nan,2
"electronics, power",BIO-110,General Biology 1,3,nan,2
biomedical,BIO-321,Biology for Biomedecal Engineering,3,nan,6
"biomedical, computer",CHEM 110,General Chemistry 1,3,nan,2
"biomedical, computer",CHEM 281,General Chemistry Lab,1,"CHEM-110, PHYS-110",4
"electronics, power",CHEM-110,General Chemistry 1,3,nan,2
"electronics, power",CHEM-281,General Chemistry Lab,1,CHEM-110,4
"biomedical, computer",COMM 101,Communication Skills 1,3,nan,2
"biomedical, computer, electronics, power",CPIT 110,Programming and Problem Solving,3,nan,1
"biomedical, computer",EE 201,Structured Computer Programming,2,"MATH-110, nan",3
computer,EE 202,Object-Oriented Computer Programming,3,EE-201,5
computer,EE 250,Basic Electrical Circuits,4,PHYS-202,5
computer,EE 300,Complex Analysis,3,MATH-207,6
computer,EE 301,Electrical Circuits and Systems,3,EE-250,6
computer,EE 305,Discrete Mathematics,3,"EE-202, MATH-204",7
computer,EE 306,Electrical Engineering Technologies,3,EE-250,6
computer,EE 311,Electronics I,4,EE-250,7
computer,EE 321,Introduction to Communications,4,EE-301,7
computer,EE 331,Principles of Automatic Control,4,"EE-300, EE-301",9
computer,EE 332,Numerical Methods,3,"EE-201, MATH-204",8
computer,EE 360,Digital Design I,4,EE-250,7
computer,EE 361,Digital Computer Organization,3,EE-360,8
computer,EE 364,Advanced Programming,3,EE-202,8
computer,EE 366,Microprocessors and Microcontrollers,3,"EE-202, EE-360",8
computer,EE 367,Data Structures and Algorithms,3,"EE-202, EE-360",8
"biomedical, computer",EE 390,Summer Training,2,"Approval of Department, nan",11
computer,EE 460,Digital Design II,4,EE-360,9
computer,EE 462,Computer Communication Networks,3,EE-364,10
computer,EE 463,Operating Systems,4,"EE-361, EE-367",10
computer,EE 499,Senior Project,4,"EE-321, EE-366",9
computer,EE XXX,Elective 1,3,nan,9
"electronics, power",EE-201,Structured Computer Programming,2,nan,2
"biomedical, electronics, power",EE-202,Object-Oriented Computer Programming,3,EE-201,5
"biomedical, electronics, power",EE-250,Basic Electrical Circuits,4,PHYS-202,4
"biomedical, electronics, power",EE-300,Complex Analysis,3,"EE-250 MATH-207, MATH-207",6
"biomedical, electronics, power",EE-301,Electrical Circuits and Systems,3,"EE-250, MATH-204, MATH-204, EE-250",5
"biomedical, electronics, power",EE-302,Electromagnetic Fields,3,"EE-250, MATH-207",7
power,EE-303,Electrical Measurements and Instrumentation,3,"STAT-110, EE-311",8
"biomedical, electronics",EE-306,Electrical Engineering Technologies,3,EE-250,6
"biomedical, electronics, power",EE-311,Electronics 1,4,EE-250,6
"biomedical, electronics",EE-312,Electronics 2,4,EE-311,8
"biomedical, electronics, power",EE-321,Introduction to Communications,4,EE-301,7
"electronics, power",EE-331,Principles of Automatic Control,4,"EE-300, EE-301",8
"electronics, power",EE-332,Numerical Methods in Engineering,3,"EE-201, MATH-204",7
power,EE-341,Electromechanical Energy Conversion 1,3,EE-250,8
"electronics, power",EE-351,Electrical Power Systems 1,3,EE-250,8
"biomedical, electronics, power",EE-360,Digital Design I,4,EE-250,7
"biomedical, electronics, power",EE-366,Microprocessor and Microcontrollers,3,"EE-202, EE-360",8
biomedical,EE-370,Biomedical Primer,4,"EE-306, BIO-321",8
biomedical,EE-372,Physiology,3,BIO-321,7
biomedical,EE-374,Experimental & Data Analysis,3,"BIO-321, STAT-110",7
power,EE-404,Power Systems Lab,1,"EE-442, EE-451(co-req)",9
power,EE-405,Machines Lab,1,EE-441 (co-req),9
electronics,EE-413,Communication Circuits,4,"EE-312, EE-321",9
electronics,EE-421,Communication Theory 1,3,"EE-321, IE-331",9
electronics,EE-423,Electromagnatic Waves,3,"EE-302, MATH-204",11
electronics,EE-425,Communication Systems,4,"EE-421, EE-423",10
power,EE-441,Electromechanical Energy Conversion 1,3,"EE-341, EE-351",11
power,EE-442,Power Electronics 1,3,EE-311,9
power,EE-451,Electrical Power Systems 3,3,EE-351,9
power,EE-453,Power Transmission and Distribution,3,"STAT-110, EE-351",10
power,EE-454,Switchgear and Protection of Power Systems,3,"EE-341, EE-351",10
biomedical,EE-470,Signals & Systems,4,"EE-370, EE-301",10
biomedical,EE-471,Instrumentation,3,"EE-372, EE-312, EE-370",10
biomedical,EE-472,Imaging Systems,3,"EE-302, EE-370",9
biomedical,EE-474,"Safety, Reliability & Maintenance",4,EE-370,9
"electronics, power",EE-499,Senior Project,4,Approval of Department,9
"biomedical, electronics",EE-XXX,Elective I,3,"Approval of Department, nan",9
"biomedical, computer",ELIS 101,English Language 1,0,nan,1
"biomedical, computer",ELIS 102,English Language 2,2,nan,1
"biomedical, computer",ELIS 103,English Language 3,2,nan,2
"biomedical, computer",ELIS 104,English Language 4,2,nan,2
"electronics, power",ELIS-111,English Language 1,0,nan,1
"electronics, power",ELIS-112,English Language 2,2,nan,2
"electronics, power",ELIS-113,English Language 3,2,nan,2
computer,FREE XXX,Free Elective,1,nan,9
"biomedical, computer",IE 201,Engineering Design 1,3,nan,4
computer,IE 202,Engineering Design 2,2,"IE-200, IE-201",6
"biomedical, computer",IE 255,Engineering Economy,3,nan,4
computer,IE 256,Engineering Management,2,IE-255,7
computer,IE 331,Probability and Statistics,3,"MATH-207, STAT-110",6
"biomedical, computer, electronics, power",IE-200,Technical Communication Skills,2,nan,3
"electronics, power",IE-201,Engineering Design I,3,nan,4
"biomedical, electronics, power",IE-202,Introduction to Engineering Design 2,3,"IE-200, IE-201",7
"electronics, power",IE-255,Engineering Economy,3,nan,4
"biomedical, electronics, power",IE-256,Engineering Management,2,"IE-201, IE-255, IE-255",6
"electronics, power",IE-301,Workforce Skills,3,nan,10
electronics,IE-331,Probabilityy and Engineering Statistics,3,"MATH-207, STAT-110",8
"biomedical, computer",ISLS 101,Islamic Culture 1,2,nan,4
